Date,DHB,Active,Recovered,Deceased,Total
2021-03-07,Wairarapa,0,8,0,8
2021-03-07,Waikato,0,193,2,195
2021-03-07,Taranaki,0,16,0,16
2021-03-07,Tairawhiti,0,4,0,4
2021-03-07,Southern,0,214,2,216
2021-03-07,South Canterbury,0,17,0,17
2021-03-07,Northland,0,29,0,29
2021-03-07,Nelson Marlborough,0,49,0,49
2021-03-07,Mid Central,0,32,0,32
2021-03-07,Lakes,0,16,0,16
2021-03-07,Hutt Valley,0,24,0,24
2021-03-07,Hawke's Bay,0,44,0,44
2021-03-07,Counties Manukau,4,227,1,232
2021-03-07,Capital and Coast,0,94,2,96
2021-03-07,Canterbury,0,156,12,168
2021-03-07,Bay of Plenty,0,48,0,48
2021-03-07,Managed Isolation & Quarantine,68,596,1,665
2021-03-07,Total,72,2301,26,2399
2021-03-08,Auckland,0,225,1,226
2021-03-08,Whanganui,0,9,0,9
2021-03-08,West Coast,0,4,1,5
2021-03-08,Waitemata,0,296,4,300
2021-03-08,Wairarapa,0,8,0,8
2021-03-08,Waikato,0,193,2,195
2021-03-08,Taranaki,0,16,0,16
2021-03-08,Tairawhiti,0,4,0,4
2021-03-08,Southern,0,214,2,216
2021-03-08,South Canterbury,0,17,0,17
2021-03-08,Northland,0,29,0,29
2021-03-08,Nelson Marlborough,0,49,0,49
2021-03-08,Mid Central,0,32,0,32
2021-03-08,Lakes,0,16,0,16
2021-03-08,Hutt Valley,0,24,0,24
2021-03-08,Hawke's Bay,0,44,0,44
2021-03-08,Counties Manukau,4,227,1,232
2021-03-08,Capital and Coast,0,94,2,96
2021-03-08,Canterbury,0,156,12,168
2021-03-08,Bay of Plenty,0,48,0,48
2021-03-08,Managed Isolation & Quarantine,74,596,1,671
2021-03-08,Total,78,2301,26,2405
2021-03-09,Auckland,0,225,1,226
2021-03-09,Whanganui,0,9,0,9
2021-03-09,West Coast,0,4,1,5
2021-03-09,Waitemata,0,296,4,300
2021-03-09,Wairarapa,0,8,0,8
2021-03-09,Waikato,0,193,2,195
2021-03-09,Taranaki,0,16,0,16
2021-03-09,Tairawhiti,0,4,0,4
2021-03-09,Southern,0,214,2,216
2021-03-09,South Canterbury,0,17,0,17
2021-03-09,Northland,0,29,0,29
2021-03-09,Nelson Marlborough,0,49,0,49
2021-03-09,Mid Central,0,32,0,32
2021-03-09,Lakes,0,16,0,16
2021-03-09,Hutt Valley,0,24,0,24
